feature,importance
y_min,0.07842067632161402
y_spectral_centroid,0.04580295521777803
z_max,0.042499580354079664
z_median,0.03765916998443608
y_q25,0.033715745301223024
y_spectral_entropy,0.03191349166128583
y_kurtosis,0.028757108139410747
y_std,0.02687773341586699
z_q25,0.02637473537178702
y_max,0.025306977085021075
z_energy,0.024965762453597783
z_std,0.02459715132808206
z_range,0.024348191980017156
y_energy,0.024066927542018703
y_range,0.023095312405973026
y_var,0.022769644743768327
y_high_freq_energy,0.020751702135609097
smv,0.020236911269351083
z_spectral_energy,0.018836226431476776
z_q75,0.01768339103567607
x_max,0.0174501160045881
z_rms,0.01705604736781813
y_dom_freq,0.015722458748083923
y_zcr,0.015528403658070154
y_mid_freq_energy,0.015151872046570133
z_spectral_rolloff,0.014836534420832376
z_var,0.014544199844728446
x_spectral_energy,0.014207555673470202
y_q75,0.0141456659315086
sma,0.014008623468729853
y_low_freq_energy,0.01341283518929753
corr_yz,0.013130257930678102
z_min,0.010631989470915272
z_spectral_centroid,0.009964182820590485
z_mean,0.009932132514881679
x_low_freq_energy,0.009897412039602699
z_zcr,0.009890441529355304
x_spectral_entropy,0.009651632727295724
y_spectral_rolloff,0.009594943427570548
x_mid_freq_energy,0.009179021931459024
z_low_freq_energy,0.009073449451761004
x_std,0.008551147992851551
y_rms,0.00801351043773214
x_energy,0.00800331896726113
x_range,0.007833827152627334
x_iqr,0.0076858906687040625
z_kurtosis,0.007655525225235452
x_kurtosis,0.007390648957674165
z_spectral_entropy,0.007376496883399833
x_q25,0.006540763487475915
y_iqr,0.006389003153709039
corr_xy,0.006287001287001287
corr_xz,0.005744409333981527
z_high_freq_energy,0.005686813186813187
y_median,0.005572860834256185
x_high_freq_energy,0.0048516519842700875
y_spectral_energy,0.004675831767199582
x_spectral_centroid,0.004651432913590969
x_var,0.0042176722044107665
x_mean,0.003971313454841252
y_mean,0.0035330261136712754
x_zcr,0.0033916707178739255
z_mid_freq_energy,0.0026685082872928184
x_rms,0.002265563435776202
z_iqr,0.0013529411764705887
y_skew,0.0
x_dom_freq,0.0
x_skew,0.0
x_median,0.0
x_q75,0.0
z_dom_freq,0.0
x_min,0.0
z_skew,0.0
x_spectral_rolloff,0.0
