window_id,activity,start_time,end_time,y_min,y_spectral_centroid,z_max,z_median,y_q25,y_spectral_entropy,y_kurtosis,y_std,z_q25,y_max,z_energy,z_std,z_range,y_energy,y_range,y_var,y_high_freq_energy,smv,z_spectral_energy,z_q75
0,standing,1761222046454365700,1761222048405161700,6.951000213623047,0.054887248260167804,2.530050039291382,2.4880502223968506,6.95205020904541,0.12847629532298194,-1.4056915613137433,0.035257033694361534,1.8000000715255737,7.030950546264648,519.9610888793018,0.32224162714923027,0.7700999975204468,4820.116383941051,0.07995033264160156,0.0012430584249253443,0.04081203500701354,7.395690814980946,50967.054482620006,2.5279500484466553
1,standing,1761222047424620300,1761222049365750800,6.951000213623047,0.008198682790293729,2.530050039291382,2.164950132369995,6.95205020904541,0.009316184963087237,-1.2508142597771352,0.0014140941371994012,2.047950029373169,6.955050468444824,502.68149205342934,0.2079039220666837,0.5211000442504883,4786.062793386317,0.004050254821777344,1.999662228861719e-06,0.006961445846663959,7.335143861545927,49553.58434695526,2.4915000200271606
2,standing,1761222048405161700,1761222050346241000,6.951000213623047,0.008261019928373154,2.1660001277923584,2.01104998588562,6.95205020904541,0.009286513164642702,-1.2541481267515127,0.0014145316252554949,1.972950100898743,6.955050468444824,404.9235758363709,0.05856308777583598,0.2149500846862793,4786.119116435144,0.004050254821777344,2.0008997188479518e-06,0.006992821952587872,7.24116676403326,40070.62019255035,2.047950029373169
3,standing,1761222049365750800,1761222051326735000,6.951000213623047,0.008148618523302968,2.013000011444092,1.9530000686645508,6.95205020904541,0.008584507582597345,-1.266496724341081,0.0014255263078861915,1.8395251035690308,6.955050468444824,368.4412631179712,0.0731450279682865,0.21494996547698975,4786.077397826135,0.004050254821777344,2.0321252544756364e-06,0.006859918858173024,7.215640662145532,36449.4565498469,1.972950100898743
4,standing,1761222050346241000,1761222052307219200,6.951000213623047,0.008135934722047277,1.9549500942230225,1.8000000715255735,6.95205020904541,0.008560647090517997,-1.2689956039124095,0.0014257352931575005,1.7235000729560852,6.955050468444824,322.87172238425114,0.09248803106992352,0.34695005416870117,4786.104518295843,0.004050254821777344,2.0327211261549035e-06,0.0068580582448352,7.183681175396936,31922.361365001678,1.8395251035690308
5,standing,1761222051326735000,1761222053287694300,6.951000213623047,0.008170054269863614,1.8019500970840456,1.609950065612793,6.95205020904541,0.008825166954845788,-1.2508142597771346,0.0014140941371994012,1.6080000400543213,6.955050468444824,277.03895143166227,0.07343477958706064,0.19589996337890647,4786.062793386317,0.004050254821777344,1.9996622288617187e-06,0.006946658642734368,7.151373122235323,27400.420981408042,1.7235000729560852
6,standing,1761222052307219200,1761222054268225000,6.951000213623047,0.008014771013808961,1.609950065612793,1.606950044631958,6.95205020904541,0.00788965658440369,-1.2821765732470913,0.0014290174148475776,1.5340501070022583,6.955050468444824,249.65606803020398,0.033491106006137854,0.07994997501373291,4786.092000060972,0.004050254821777344,2.042090771937654e-06,0.007152662568605618,7.132046326753509,24710.452163856404,1.6090500354766846
7,standing,1761222053287694300,1761222055248709400,6.951000213623047,0.008165446452497381,1.609950065612793,1.5310500860214231,6.95205020904541,0.008795936656329988,-1.2541481267515127,0.0014145316252554949,1.5139501094818115,6.955050468444824,235.88527025267058,0.036977024071928453,0.0989999771118164,4786.119116435144,0.004050254821777344,2.0008997188479518e-06,0.006957420803786096,7.122306414754929,23345.939626305953,1.5340501070022583
8,standing,1761222054268225000,1761222056229404200,6.951000213623047,0.008148618523302968,1.5340501070022583,1.5139501094818115,6.95205020904541,0.008584507582597345,-1.266496724341081,0.0014255263078861915,1.5120000839233398,6.955050468444824,227.72233364671183,0.007604508455277649,0.02310001850128174,4786.077397826135,0.004050254821777344,2.0321252544756364e-06,0.006859918858173024,7.116490484159904,22544.227354147042,1.5150001049041748
9,walking,1761222775762543000,1761222777713850400,5.344050407409668,1.9481018077257135,3.6979501247406006,1.1869500875473022,6.224475383758545,2.255462622833757,0.38506126680511876,1.2111252250966946,1.0344750881195068,9.808950424194336,307.99696312858384,0.9726687747359812,4.485000133514404,5068.4859348237405,4.464900016784668,1.466824310865519,99.81787362396675,7.417805594834197,25854.165068857998,2.0199750661849976
